root@comp3134-Winter2026:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
03:56:28.664369 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2617375683:2617375727, ack 1573747218, win 581, length 44
03:56:31.042708 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2644:2680, ack 2521, win 581, length 36
03:56:31.073863 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2521:2557, ack 2680, win 510, length 36
03:56:31.074094 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2680:2716, ack 2557, win 581, length 36
03:56:31.104880 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2557:2593, ack 2716, win 510, length 36
03:56:31.105091 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2716:2752, ack 2593, win 581, length 36
03:56:31.135478 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2593:2629, ack 2752, win 510, length 36
03:56:31.135676 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2752:2788, ack 2629, win 581, length 36
03:56:31.166533 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2629:2665, ack 2788, win 510, length 36
03:56:31.166755 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2788:2824, ack 2665, win 581, length 36
03:56:31.198288 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2665:2701, ack 2824, win 510, length 36
03:56:31.198512 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2824:2860, ack 2701, win 581, length 36
03:56:31.230762 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2701:2737, ack 2860, win 510, length 36
03:56:31.230972 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2860:2896, ack 2737, win 581, length 36
03:56:31.260630 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2737:2773, ack 2896, win 509, length 36
03:56:31.260852 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2896:2932, ack 2773, win 581, length 36
03:56:31.291893 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [P.], seq 2773:2809, ack 2932, win 509, length 36
03:56:31.292111 IP comp3134-Winter2026.ssh > bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964: Flags [P.], seq 2932:2968, ack 2809, win 581, length 36
03:56:31.337644 IP bras-base-toroon3520w-grc-08-70-51-215-139.dsl.bell.ca.60964 > comp3134-Winter2026.ssh: Flags [.], ack 2968, win 509, length 0
03:56:32.673837 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [S], seq 3162753600, win 64240, options [mss 1460,sackOK,TS val 4263672148 ecr 0,nop,wscale 7], length 0
03:56:32.673915 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [S.], seq 3376347942, ack 3162753601, win 65160, options [mss 1460,sackOK,TS val 22874298 ecr 4263672148,nop,wscale 7], length 0
03:56:32.958268 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1, win 502, options [nop,nop,TS val 4263672433 ecr 22874298], length 0
03:56:32.972109 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 1:44, ack 1, win 510, options [nop,nop,TS val 22874597 ecr 4263672433], length 43: SSH: SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.15
03:56:32.986052 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1:13, ack 1, win 502, options [nop,nop,TS val 4263672461 ecr 22874298], length 12: SSH: SSH-2.0-Go
03:56:32.986105 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [.], ack 13, win 510, options [nop,nop,TS val 22874611 ecr 4263672461], length 0
03:56:33.256420 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 44, win 502, options [nop,nop,TS val 4263672731 ecr 22874597], length 0
03:56:33.256487 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 44:1164, ack 13, win 510, options [nop,nop,TS val 22874881 ecr 4263672731], length 1120
03:56:33.424275 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 13:1133, ack 44, win 502, options [nop,nop,TS val 4263672899 ecr 22874611], length 1120
03:56:33.424324 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [.], ack 1133, win 533, options [nop,nop,TS val 22875049 ecr 4263672899], length 0
03:56:33.540657 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1164, win 525, options [nop,nop,TS val 4263673015 ecr 22874881], length 0
03:56:33.702921 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1133:1181, ack 1164, win 525, options [nop,nop,TS val 4263673178 ecr 22874881], length 48
03:56:33.702991 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [.], ack 1181, win 533, options [nop,nop,TS val 22875327 ecr 4263673178], length 0
03:56:33.708134 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 1164:1736, ack 1181, win 533, options [nop,nop,TS val 22875333 ecr 4263673178], length 572
03:56:33.992287 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1736, win 543, options [nop,nop,TS val 4263673467 ecr 22875333], length 0
03:56:34.141864 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1181:1197, ack 1736, win 543, options [nop,nop,TS val 4263673616 ecr 22875333], length 16
03:56:34.143693 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1197:1249, ack 1736, win 543, options [nop,nop,TS val 4263673618 ecr 22875333], length 52
03:56:34.143889 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [.], ack 1249, win 533, options [nop,nop,TS val 22875768 ecr 4263673616], length 0
03:56:34.144011 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 1736:1788, ack 1249, win 533, options [nop,nop,TS val 22875769 ecr 4263673616], length 52
03:56:34.428093 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1788, win 543, options [nop,nop,TS val 4263673903 ecr 22875769], length 0
03:56:34.428094 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1249:1317, ack 1788, win 543, options [nop,nop,TS val 4263673903 ecr 22875769], length 68
03:56:34.429202 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 1788:1840, ack 1317, win 533, options [nop,nop,TS val 22876054 ecr 4263673903], length 52
03:56:34.714789 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [P.], seq 1317:1401, ack 1840, win 543, options [nop,nop,TS val 4263674189 ecr 22876054], length 84
03:56:34.755013 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [.], ack 1401, win 533, options [nop,nop,TS val 22876380 ecr 4263674189], length 0
03:56:36.013349 IP 172.69.214.2.13347 > comp3134-Winter2026.http: Flags [S], seq 2561972956, win 65535, options [mss 1460,sackOK,TS val 3797549233 ecr 0,nop,wscale 13], length 0
03:56:36.114132 IP carthage.scan.bufferover.run.47904 > comp3134-Winter2026.7885: Flags [S], seq 3815860360, win 65535, options [mss 1460], length 0
03:56:37.059414 IP 172.69.214.2.13347 > comp3134-Winter2026.http: Flags [S], seq 2561972956, win 65535, options [mss 1460,sackOK,TS val 3797550280 ecr 0,nop,wscale 13], length 0
03:56:38.083444 IP 172.69.214.2.13347 > comp3134-Winter2026.http: Flags [S], seq 2561972956, win 65535, options [mss 1460,sackOK,TS val 3797551304 ecr 0,nop,wscale 13], length 0
03:56:38.538170 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [P.], seq 1840:1892, ack 1401, win 533, options [nop,nop,TS val 22880163 ecr 4263674189], length 52
03:56:38.862911 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1892, win 543, options [nop,nop,TS val 4263678338 ecr 22880163], length 0
03:56:38.885071 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [F.], seq 1401, ack 1892, win 543, options [nop,nop,TS val 4263678360 ecr 22880163], length 0
03:56:38.886938 IP comp3134-Winter2026.ssh > 143.110.240.17.42700: Flags [F.], seq 1892, ack 1402, win 533, options [nop,nop,TS val 22880511 ecr 4263678360], length 0
03:56:39.107375 IP 172.69.214.2.13347 > comp3134-Winter2026.http: Flags [S], seq 2561972956, win 65535, options [mss 1460,sackOK,TS val 3797552328 ecr 0,nop,wscale 13], length 0
03:56:39.171164 IP 143.110.240.17.42700 > comp3134-Winter2026.ssh: Flags [.], ack 1893, win 543, options [nop,nop,TS val 4263678646 ecr 22880511], length 0
root@comp3134-Winter2026:~#
